order_item_id,created_at,order_id,price_usd,cogs_usd,website_session_id
160,2012/5/1 03:50,160,49.99,19.49,5619
161,2012/5/1 10:34,161,49.99,19.49,5650
162,2012/5/1 11:20,162,49.99,19.49,5654
163,2012/5/1 12:10,163,49.99,19.49,5663
164,2012/5/1 16:25,164,49.99,19.49,5705
165,2012/5/2 11:50,165,49.99,19.49,5820
166,2012/5/2 12:56,166,49.99,19.49,5830
167,2012/5/2 17:15,167,49.99,19.49,5870
168,2012/5/2 17:24,168,49.99,19.49,5873
169,2012/5/3 09:03,169,49.99,19.49,5925
170,2012/5/3 09:40,170,49.99,19.49,5927
171,2012/5/3 15:19,171,49.99,19.49,5976
172,2012/5/3 16:24,172,49.99,19.49,5987
173,2012/5/3 23:52,173,49.99,19.49,6017
174,2012/5/4 05:22,174,49.99,19.49,6036
175,2012/5/4 10:24,175,49.99,19.49,6056
176,2012/5/4 16:56,176,49.99,19.49,6123
177,2012/5/8 15:59,177,49.99,19.49,6481
178,2012/5/8 16:18,178,49.99,19.49,6487
179,2012/5/9 01:00,179,49.99,19.49,6536
180,2012/5/9 01:40,180,49.99,19.49,6539
181,2012/5/9 09:04,181,49.99,19.49,6562
182,2012/5/9 10:16,182,49.99,19.49,6571
183,2012/5/9 13:36,183,49.99,19.49,6603
184,2012/5/9 14:59,184,49.99,19.49,6614
185,2012/5/9 17:01,185,49.99,19.49,6629
186,2012/5/9 17:41,186,49.99,19.49,6637
187,2012/5/10 09:54,187,49.99,19.49,6692
188,2012/5/10 18:45,188,49.99,19.49,6765
189,2012/5/10 21:29,189,49.99,19.49,6781
190,2012/5/11 11:10,190,49.99,19.49,6836
191,2012/5/11 15:06,191,49.99,19.49,6889
192,2012/5/11 21:20,192,49.99,19.49,6927
193,2012/5/12 20:44,193,49.99,19.49,6993
194,2012/5/13 08:21,194,49.99,19.49,7018
195,2012/5/13 15:56,195,49.99,19.49,7035
196,2012/5/13 17:04,196,49.99,19.49,7042
197,2012/5/14 18:33,197,49.99,19.49,7140
198,2012/5/14 18:51,198,49.99,19.49,7144
199,2012/5/15 03:20,199,49.99,19.49,7175
200,2012/5/15 05:20,200,49.99,19.49,7178
201,2012/5/15 05:28,201,49.99,19.49,7179
202,2012/5/15 08:13,202,49.99,19.49,7188
203,2012/5/15 08:56,203,49.99,19.49,7191
204,2012/5/15 15:06,204,49.99,19.49,7240
205,2012/5/15 15:29,205,49.99,19.49,7245
206,2012/5/15 17:26,206,49.99,19.49,7263
207,2012/5/16 05:07,207,49.99,19.49,7311
208,2012/5/16 05:33,208,49.99,19.49,7312
209,2012/5/17 00:34,209,49.99,19.49,7421
210,2012/5/17 16:23,210,49.99,19.49,7507
211,2012/5/17 19:33,211,49.99,19.49,7528
212,2012/5/18 10:29,212,49.99,19.49,7577
213,2012/5/18 11:38,213,49.99,19.49,7590
214,2012/5/18 13:43,214,49.99,19.49,7597
215,2012/5/18 14:24,215,49.99,19.49,7604
216,2012/5/19 03:45,216,49.99,19.49,7663
217,2012/5/20 00:54,217,49.99,19.49,7710
218,2012/5/20 09:53,218,49.99,19.49,7734
219,2012/5/20 22:54,219,49.99,19.49,7787
220,2012/5/20 23:15,220,49.99,19.49,7792
221,2012/5/20 23:36,221,49.99,19.49,7795
222,2012/5/21 05:26,222,49.99,19.49,7820
223,2012/5/21 11:52,223,49.99,19.49,7864
224,2012/5/21 16:48,224,49.99,19.49,7906
225,2012/5/21 22:15,225,49.99,19.49,7947
226,2012/5/22 05:15,226,49.99,19.49,7973
227,2012/5/22 06:15,227,49.99,19.49,7978
228,2012/5/22 11:40,228,49.99,19.49,8001
229,2012/5/22 13:00,229,49.99,19.49,8011
230,2012/5/22 16:53,230,49.99,19.49,8060
231,2012/5/23 03:29,231,49.99,19.49,8130
232,2012/5/23 22:13,232,49.99,19.49,8265
233,2012/5/23 23:24,233,49.99,19.49,8272
234,2012/5/24 19:34,234,49.99,19.49,8435
235,2012/5/24 20:47,235,49.99,19.49,8447
236,2012/5/25 04:56,236,49.99,19.49,8479
237,2012/5/25 05:03,237,49.99,19.49,8480
238,2012/5/25 11:32,238,49.99,19.49,8519
239,2012/5/25 14:34,239,49.99,19.49,8543
240,2012/5/25 14:47,240,49.99,19.49,8546
241,2012/5/25 16:22,241,49.99,19.49,8569
242,2012/5/26 13:48,242,49.99,19.49,8642
243,2012/5/26 14:12,243,49.99,19.49,8643
244,2012/5/26 17:15,244,49.99,19.49,8656
245,2012/5/27 09:35,245,49.99,19.49,8694
246,2012/5/27 23:20,246,49.99,19.49,8738
247,2012/5/28 01:00,247,49.99,19.49,8748
248,2012/5/28 06:32,248,49.99,19.49,8766
249,2012/5/28 15:16,249,49.99,19.49,8810
250,2012/5/29 06:08,250,49.99,19.49,8874
251,2012/5/29 10:25,251,49.99,19.49,8903
252,2012/5/29 10:28,252,49.99,19.49,8905
253,2012/5/29 11:52,253,49.99,19.49,8921
254,2012/5/29 15:26,254,49.99,19.49,8953
255,2012/5/29 16:36,255,49.99,19.49,8963
256,2012/5/29 17:05,256,49.99,19.49,8971
257,2012/5/29 23:52,257,49.99,19.49,9020
258,2012/5/30 03:09,258,49.99,19.49,9032
259,2012/5/30 07:56,259,49.99,19.49,9042
260,2012/5/30 12:03,260,49.99,19.49,9073
261,2012/5/30 20:49,261,49.99,19.49,9166
262,2012/5/30 23:02,262,49.99,19.49,9176
263,2012/5/31 05:33,263,49.99,19.49,9193
264,2012/5/31 09:04,264,49.99,19.49,9216
265,2012/5/31 11:07,265,49.99,19.49,9240
266,2012/5/31 16:48,266,49.99,19.49,9294
267,2012/5/31 23:09,267,49.99,19.49,9342
268,2012/6/1 06:22,268,49.99,19.49,9363
269,2012/6/1 12:48,269,49.99,19.49,9412
270,2012/6/1 12:57,270,49.99,19.49,9413
271,2012/6/1 14:22,271,49.99,19.49,9428
272,2012/6/1 18:27,272,49.99,19.49,9460
273,2012/6/1 20:13,273,49.99,19.49,9467
274,2012/6/2 13:04,274,49.99,19.49,9514
275,2012/6/2 23:36,275,49.99,19.49,9547
276,2012/6/3 07:08,276,49.99,19.49,9562
277,2012/6/3 10:20,277,49.99,19.49,9568
278,2012/6/3 17:07,278,49.99,19.49,9590
279,2012/6/3 18:13,279,49.99,19.49,9592
280,2012/6/4 01:52,280,49.99,19.49,9617
281,2012/6/4 18:54,281,49.99,19.49,9735
282,2012/6/5 00:05,282,49.99,19.49,9765
283,2012/6/5 00:43,283,49.99,19.49,9769
284,2012/6/5 03:25,284,49.99,19.49,9779
285,2012/6/5 11:58,285,49.99,19.49,9819
286,2012/6/5 14:05,286,49.99,19.49,9849
287,2012/6/6 01:28,287,49.99,19.49,9915
288,2012/6/6 08:14,288,49.99,19.49,9932
289,2012/6/6 09:43,289,49.99,19.49,9942
290,2012/6/6 10:54,290,49.99,19.49,9954
291,2012/6/6 13:05,291,49.99,19.49,9989
292,2012/6/6 16:36,292,49.99,19.49,10020
293,2012/6/6 17:40,293,49.99,19.49,10033
294,2012/6/6 18:13,294,49.99,19.49,10041
295,2012/6/7 06:41,295,49.99,19.49,10105
296,2012/6/7 09:31,296,49.99,19.49,10122
297,2012/6/7 11:52,297,49.99,19.49,10151
298,2012/6/7 12:51,298,49.99,19.49,10167
299,2012/6/7 13:34,299,49.99,19.49,10177
300,2012/6/7 20:46,300,49.99,19.49,10244
301,2012/6/8 00:03,301,49.99,19.49,10265
302,2012/6/8 01:47,302,49.99,19.49,10269
303,2012/6/8 06:25,303,49.99,19.49,10277
304,2012/6/8 09:11,304,49.99,19.49,10291
305,2012/6/8 10:07,305,49.99,19.49,10300
306,2012/6/8 13:58,306,49.99,19.49,10335
307,2012/6/9 03:07,307,49.99,19.49,10411
308,2012/6/9 14:35,308,49.99,19.49,10442
309,2012/6/9 23:54,309,49.99,19.49,10468
310,2012/6/10 18:55,310,49.99,19.49,10517
